#,Category,Tool Name,Description,HTTP Method,Graph API Endpoint (relative to https://graph.microsoft.com/{version}),API Version,Required Application Permission,Access Type,Status
1,Core,test_connection,Test Microsoft Graph API connection / tenant info,GET,/organization,v1.0,Organization.Read.All,Read,EXISTING
2,Core,get_intune_overview,Device counts + compliance summary overview,GET,/deviceManagement/managedDeviceOverview,v1.0,DeviceManagementManagedDevices.Read.All,Read,EXISTING
3,Intune Device Management,list_managed_devices,List all Intune managed devices,GET,/deviceManagement/managedDevices,v1.0,DeviceManagementManagedDevices.Read.All,Read,EXISTING
4,Intune Device Management,get_device_details,Get device by ID,GET,/deviceManagement/managedDevices/{id},v1.0,DeviceManagementManagedDevices.Read.All,Read,EXISTING
5,Intune Device Management,search_devices,Search devices by name/user/serial,GET,/deviceManagement/managedDevices?$filter=...,v1.0,DeviceManagementManagedDevices.Read.All,Read,EXISTING
6,Intune Device Management,get_noncompliant_devices,List non-compliant devices,GET,/deviceManagement/managedDevices?$filter=complianceState eq 'noncompliant',v1.0,DeviceManagementManagedDevices.Read.All,Read,EXISTING
7,Intune Device Management,sync_device,Trigger device sync,POST,/deviceManagement/managedDevices/{id}/syncDevice,v1.0,DeviceManagementManagedDevices.ReadWrite.All,Read.Write,EXISTING
8,Intune Device Management,restart_device,Remote restart device,POST,/deviceManagement/managedDevices/{id}/rebootNow,v1.0,DeviceManagementManagedDevices.ReadWrite.All,Read.Write,EXISTING
9,Intune Device Management,remote_lock_device,Remote lock device,POST,/deviceManagement/managedDevices/{id}/remoteLock,v1.0,DeviceManagementManagedDevices.ReadWrite.All,Read.Write,EXISTING
10,Intune Device Management,wipe_device,Wipe device (destructive confirm=True),POST,/deviceManagement/managedDevices/{id}/wipe,v1.0,DeviceManagementManagedDevices.ReadWrite.All,Read.Write,EXISTING
11,Intune Device Management,retire_device,Retire device / remove company data,POST,/deviceManagement/managedDevices/{id}/retire,v1.0,DeviceManagementManagedDevices.ReadWrite.All,Read.Write,EXISTING
12,Device Inventory & Advanced Mgmt,get_device_hardware_inventory,Hardware inventory for a device,GET,/deviceManagement/managedDevices/{id}?$select=hardwareInformation,v1.0,DeviceManagementManagedDevices.Read.All,Read,EXISTING
13,Device Inventory & Advanced Mgmt,get_device_installed_apps,Installed apps on a device,GET,/deviceManagement/managedDevices/{id}/detectedApps,v1.0,DeviceManagementManagedDevices.Read.All,Read,EXISTING
14,Device Inventory & Advanced Mgmt,rename_device,Rename a managed device,POST,/deviceManagement/managedDevices/{id}/setDeviceName,v1.0,DeviceManagementManagedDevices.ReadWrite.All,Read.Write,EXISTING
15,Device Inventory & Advanced Mgmt,bulk_sync_devices,Sync multiple devices (looped calls),POST,/deviceManagement/managedDevices/{id}/syncDevice,v1.0,DeviceManagementManagedDevices.ReadWrite.All,Read.Write,EXISTING
16,Device Inventory & Advanced Mgmt,get_device_network_info,Network info for a device,GET,/deviceManagement/managedDevices/{id}?$select=wifiMacAddress&ethernetMacAddress&subnetAddress,v1.0,DeviceManagementManagedDevices.Read.All,Read,EXISTING
17,Device Inventory & Advanced Mgmt,get_stale_devices_report,Devices inactive N days,GET,/deviceManagement/managedDevices?$filter=lastSyncDateTime le {date},v1.0,DeviceManagementManagedDevices.Read.All,Read,EXISTING
18,Autopilot,list_autopilot_devices,List Windows Autopilot devices,GET,/deviceManagement/windowsAutopilotDeviceIdentities,v1.0,DeviceManagementServiceConfig.Read.All,Read,EXISTING
19,Autopilot,list_autopilot_profiles,List Autopilot deployment profiles,GET,/deviceManagement/windowsAutopilotDeploymentProfiles,v1.0,DeviceManagementServiceConfig.Read.All,Read,EXISTING
